name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
G.Skill Trident Z5 Royal 64 GB,214.99,"5,6400","2,32",3.359,Silver,10,32
Corsair Vengeance 96 GB,329.99,"5,6000","2,48",3.437,Black / Silver,10,30
Corsair Vengeance 32 GB,124.99,"5,6000","2,16",3.906,Black,9.333,28
Silicon Power XPOWER Turbine 16 GB,24.97,"4,3200","2,8",1.561,Blue,10,16
G.Skill Trident Z5 Neo RGB 32 GB,119.99,"5,6400","2,16",3.75,Black,9.375,30
Kingston FURY Beast 128 GB,400,"5,5600","4,32",3.125,White,14.286,40
Corsair Vengeance RGB Pro 32 GB,82.99,"4,3200","2,16",2.593,White,10,16
Corsair Vengeance RGB 64 GB,219.99,"5,6000","2,32",3.437,White / Silver,10,30
Corsair Vengeance 32 GB,89.99,"5,4800","2,16",2.812,Black,16.667,40
Patriot Viper Venom 64 GB,129.99,"5,6000","2,32",2.031,Black / White,12,36
G.Skill Trident Z5 RGB 64 GB,229.99,"5,6800","2,32",3.594,Black,10,34
G.Skill Ripjaws V 32 GB,53.61,"4,3600","2,16",1.675,Black,10,18
Timetec PINNACLE Konduit 32 GB,42.99,"4,3200","2,16",1.343,White,10,16
G.Skill Trident Z5 Royal 32 GB,139.99,"5,6400","2,16",4.375,White,9.375,30
G.Skill Trident Z RGB 64 GB,119.99,"4,3600","2,32",1.875,Black,10,18
G.Skill Ripjaws S5 96 GB,269.99,"5,6400","2,48",2.812,Black,10,32
Corsair Vengeance RGB 64 GB,224.99,"5,6400","2,32",3.515,Black / Gray,10,32
TEAMGROUP T-Force Delta RGB 16 GB,40.99,"4,3600","2,8",2.562,Black,10,18
Corsair Vengeance 128 GB,409.99,"5,5600","4,32",3.203,Black,14.286,40
Crucial Pro 32 GB,83.99,"5,6400","2,16",2.625,Black,11.875,38
Corsair Vengeance RGB 16 GB,65.99,"5,5200","2,8",4.124,Black / Gray,15.385,40
Kingston FURY Beast RGB 32 GB,128.53,"5,6000","2,16",4.017,White,10,30
Kingston FURY Beast 8 GB,24.93,"4,3200","1,8",3.116,Black,10,16
Silicon Power XPOWER Zenith RGB Gaming 32 GB,94.97,"5,6000","2,16",2.968,White,10,30
G.Skill Trident Z5 RGB 96 GB,324.99,"5,6800","2,48",3.385,Black,10,34
Kingston ValueRAM 1 GB,8.99,"2,800","1,1",8.99,Green,12.5,5
TEAMGROUP T-Force Vulcan Z 32 GB,73.76,"4,3600","2,16",2.305,Black,10,18
Kingston HyperX Fury 16 GB,,"4,3200","2,8",,Black / Silver,10,16
Patriot Venom 64 GB,144.99,"5,6000","2,32",2.265,Black,10,30
Patriot Viper Venom 16 GB,49.99,"5,5200","2,8",3.124,Black / White,13.846,36
Corsair Vengeance RGB 32 GB,98.99,"5,5200","2,16",3.093,White,15.385,40
G.Skill Flare X5 32 GB,114.99,"5,6000","2,16",3.593,Black,9.333,28
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"5,6400","2,16",3.125,White,10,32
TEAMGROUP T-Force Vulcan Z 16 GB,27.99,"4,3200","2,8",1.749,Gray,10,16
Patriot Viper Steel 32 GB,46.98,"4,3600","2,16",1.468,Silver / Black,10,18
TEAMGROUP T-Create Expert 64 GB,159.99,"5,6000","2,32",2.5,Black,11.333,34
Patriot Viper Venom 32 GB,84.99,"5,6400","2,16",2.656,Black / White,10,32
G.Skill Ripjaws S5 32 GB,84.99,"5,6000","2,16",2.656,Black,12,36
