name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Razer DeathAdder V2 Pro,113.99,Optical,Wireless,20000,Right,Black
Corsair M55 RGB Pro,39.99,Optical,Wired,12400,Both,Black
SteelSeries Rival 600,89.99,Optical,Wired,12000,Right,Black
Corsair DARKSTAR,129.99,Optical,"Wireless, Bluetooth Wireless",26000,Right,Black
Razer Cobra Pro,122.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,White
Logitech MX MASTER 2S (Black),62.01,Laser,Wireless,4000,Right,Black
Glorious MODEL O,47.4,Optical,Wired,12000,Right,White
SteelSeries Rival 650 Wireless,67.98,Optical,Wireless,12000,Right,Black
EVGA X12,9.99,Optical,Wired,16000,Both,White / Gray
Razer Mamba Elite,85,Optical,Wired,16000,Right,Black
Endgame Gear OP1 8k,84.99,Optical,Wired,26000,Right,White
SteelSeries Aerox 3 (2022),59.99,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black
Corsair IRONCLAW RGB FPS/MOBA,59.99,Optical,Wired,18000,Right,Black
Verbatim 70235,8.99,Optical,Wired,,Both,Purple / Black
Logitech PRO 2 LIGHTSPEED,129.99,Optical,"Wired, Wireless",32000,Both,Black
Monoprice Essential,7.42,Optical,Wired,,Both,Black
Razer Viper Mini Signature Edition,,Optical,"Wired, Wireless",30000,Right,Black
Asus ROG Keris II WL Ace,109.99,Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,White
Razer Basilisk V3 35K,79.98,Optical,Wired,35000,Right,Black
Razer Basilisk Ultimate,231.24,Optical,Wireless,20000,Right,Black
SteelSeries Aerox 3,74.9,Optical,Bluetooth Wireless,18000,Right,Black
Logitech G502 SE HERO,59.9,Optical,Wired,25600,Right,Black / Silver
Asus ROG HARPE ACE AIM LAB EDITION,89.99,Optical,"Wired, Wireless",36000,Right,White
Glorious Model O-,29.99,Optical,Wired,12000,Right,Black
HP HyperX Pulsefire Haste 2,69.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
ROCCAT KONE Pro,21.49,Optical,Wired,19000,Right,Black
Genius DX 110,10.72,Optical,Wired,1000,Both,Black
Logitech MX Master,199,Optical,Wireless,1600,Right,Black / Copper
Glorious Model O 2 PRO,49.99,Optical,"Wired, Wireless",26000,Right,Black
Corsair M65 RGB ULTRA WIRELESS,129.99,Optical,Wireless,26000,Right,
Logitech MX Vertical,77.34,Optical,Wireless,4000,Right,Gray / Silver
Logitech G903,89.99,Optical,Wireless,12000,Both,Black / Blue
Razer Viper Mini Signature Edition,,Optical,"Wired, Wireless",30000,Right,White
Razer Viper 8KHz,89.99,Optical,Wired,20000,Both,Black
Glorious Model I 2,69.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Adesso IMOUSE X1,11.99,Optical,Wired,3200,Right,Silver / Black
Asus TUF Gaming M3 Gen II,24.99,Optical,Wired,8000,Right,Black / Yellow
Razer Naga Pro,159.99,Optical,Wireless,20000,Right,Black
Mad Catz R.A.T. Pro X3,219.99,Optical,Wired,16000,Right,Black
Gigabyte GM-M5050,,Optical,Wired,800,Both,Black
SteelSeries Prime+,18.95,Optical,Wired,18000,Right,Black
Cooler Master MM711 Matte Black,24.99,Optical,Wired,16000,Right,Black
Logitech G305 LIGHTSPEED,39.29,Optical,"Wired, Wireless",12000,Right,Purple
Glorious Model D-,24.99,Optical,Wired,12000,Right,Black
Glorious MODEL D,29.99,Optical,Wired,12000,Right,Black
Corsair M75,79.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Both,Black
HP HyperX Pulsefire Surge,39.49,Optical,Wired,16000,Right,Black
Corsair M65 RGB ELITE,,Optical,Wired,17997,Right,Black
Razer Basilisk V2,72.03,Optical,Wired,20000,Right,Black
Razer Viper V3 Pro Sentinels Edition,,Optical,"Wired, Wireless",35000,Right,Red
Corsair DARK CORE RGB PRO,89.99,Optical,Wireless,18000,Right,Black
Glorious Model O 2,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Razer Viper,54.48,Optical,Wired,16000,Both,Black / Green
Logitech G309 LIGHTSPEED,59.95,Optical,"Wireless, Bluetooth Wireless",25600,Right,Black
Corsair M75 AIR,53.28,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech M170,12.99,Optical,"Wired, Wireless",1000,Both,White
Mionix AVIOR 7000,,Optical,Wired,7000,Both,Black / Blue
FinalMouse Ultralight Pro,,Optical,Wired,3200,Right,Black
Logitech ERGO M575S,49.99,Trackball,"Wireless, Bluetooth Wireless",2000,Right,Gray / Blue
Logitech PRO 2 LIGHTSPEED,128.51,Optical,"Wired, Wireless",32000,Both,White
Logitech M720 Triathlon,34.99,Optical,Bluetooth Wireless,1000,Right,Black
Razer Orochi V2 Quartz,69.99,Optical,Wireless,18000,Right,Pink / Gray
