name,price,capacity,price_per_gb,type,cache,form_factor,interface
Crucial P2,199.99,2000,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda Q5,40.54,500,0.081,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Hitachi Ultrastar SN260,323,1600,0.202,SSD,,PCIe,PCIe x8
Western Digital Green,54.99,240,0.229,SSD,,M.2-2280,M.2 SATA
Hitachi Ultrastar 7K6000,72.98,4000,0.018,7200,128,3.5,SATA 6.0 Gb/s
Samsung 850 Pro,272.45,512,0.532,SSD,,2.5,SATA 6.0 Gb/s
Patriot P220,47.99,1000,0.048,SSD,,2.5,SATA 6.0 Gb/s
Acer FA100,159.46,2000,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X22,429.99,22000,0.02,7200,512,3.5,SATA 6.0 Gb/s
Lexar NM610PRO,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SanDisk SSD PLUS,63.44,120,0.529,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red Plus,74.99,3000,0.025,5400,256,3.5,SATA 6.0 Gb/s
Corsair MP700 PRO w/Heatsink,255.99,2000,0.128,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Acer Predator GM7,349.85,4000,0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP GX2,52.99,1000,0.053,SSD,,2.5,SATA 6.0 Gb/s
Kingston KC600,97.99,1024,0.096,SSD,,2.5,SATA 6.0 Gb/s
