name,price,type,interface,capacity,price_per_gb,color
LaCie d2 Quadra,,Desktop,"IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 3.2 Gen 1",5000,,
Sabrent Rocket XTRM-Q,,Portable,USB Type-C 3.2 Gen 2,8000,,Black
Samsung T5,397.29,Portable,USB Type-C 3.2 Gen 1,2000,0.199,Black
Samsung T5,224,Portable,USB Type-C 3.2 Gen 1,500,0.448,
Integral SlimXpress Pro,,Portable,USB Type-C 3.2 Gen 2x2,4000,,Silver / Black
Seagate One Touch,255,Desktop,USB Type-A 3.2 Gen 1,8000,0.032,Black
Western Digital My Passport,84.99,Portable,USB Type-A 3.2 Gen 1,2000,0.042,Blue
Seagate Expansion,,Portable,USB Type-C 3.2 Gen 1,2000,,Black
Samsung T7 Portable,109.99,Portable,USB Type-C 3.2 Gen 1,1000,0.11,Blue / Silver
Seagate Expansion,359.95,Desktop,USB Type-A 3.2 Gen 1,16000,0.022,Black
Apricorn Padlock DT FIPS,899,Desktop,USB Type-A 3.2 Gen 1,18000,0.05,Black
Seagate STEB6000403,224.5,Desktop,USB Type-A 3.2 Gen 1,6000,0.037,Black
Apricorn ASSD-3PL256-120F,,Desktop,USB Type-A 2.0,120,,
Seagate Backup Plus,259.95,Desktop,USB Type-A 3.2 Gen 1,8000,0.032,
Sabrent Rocket XTRM-Q,,Portable,USB Type-C 3.2 Gen 2,4000,,Black
Apricorn Aegis Fortress L3,425.95,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",5000,0.085,Black
Seagate Expansion,192.73,Portable,USB Type-C 3.2 Gen 1,1000,0.193,Black
Seagate One Touch,309.99,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",2000,0.155,Blue
SanDisk G-DRIVE ArmorLock,,Portable,USB Type-C 3.2 Gen 1,4000,,Black / Yellow
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,500,,
TEAMGROUP M200,109.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.055,Black
Kingston XS2000,269.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.067,Silver
Western Digital easystore,509.99,Desktop,USB Type-A,22000,0.023,Black
TEAMGROUP PD1000,56.99,Portable,USB Type-C 3.2 Gen 2,512,0.111,Teal
Corsair EX100U,147.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.074,Black
Western Digital My Passport,134.99,Portable,USB Type-A 3.2 Gen 1,5000,0.027,Red
Crucial X6,149.99,Portable,USB Type-C 3.2 Gen 2,500,0.3,Black
Kingston XS2000,149.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.075,Silver
Western Digital easystore,599.99,Desktop,USB Type-A 3.2 Gen 1,24000,0.025,Black
Seagate Expansion,249.95,Desktop,USB Type-A 3.2 Gen 1,5000,0.05,
Samsung T7 Shield,159.99,Portable,USB Type-C 3.2 Gen 2,2000,0.08,Blue
Western Digital My Passport,84.99,Portable,USB Type-A 3.2 Gen 1,2000,0.042,Red
Seagate Expansion,339.99,Desktop,USB Type-A 3.2 Gen 1,10000,0.034,Black
Silicon Power PC60,130.46,Portable,USB Type-C 3.2 Gen 2,2000,0.065,Black
Crucial X10 Pro,114,Portable,USB Type-C 3.2 Gen 2x2,1000,0.114,Black
Samsung T7 Portable,126.33,Portable,USB Type-C 3.2 Gen 1,500,0.253,Red / Silver
Western Digital My Passport Ultra Portable,149.99,Portable,USB Type-A 3.2 Gen 1,2000,0.075,
Seagate Backup Plus,239.95,Desktop,USB Type-A 3.2 Gen 1,6000,0.04,
Western Digital ELEMENTS,129.99,Desktop,USB Type-A 3.2 Gen 1,4000,0.032,
TEAMGROUP T-Create CinemaPr P31,499.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.125,Black
Lexar SL200,,Portable,USB Type-C 3.2 Gen 1,512,,Black
Sabrent Rocket XTRM-Q,,Portable,USB Type-C 3.2 Gen 2,1000,,Black
Apricorn Padlock SSD,1055.9,Portable,USB Type-A 3.2 Gen 1,4000,0.264,Black
Apricorn Aegis Fortress,198.56,Portable,USB Type-A 3.2 Gen 1,256,0.776,Black
Crucial X8,,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 2",2000,,Black
Samsung T7 Portable,,Portable,USB Type-C 3.2 Gen 2,500,,Black
Seagate Backup Plus Ultra Touch,149.94,Portable,USB Type-A 3.2 Gen 1,2000,0.075,White
Asus FX HDD,,Portable,USB Type-A 3.2 Gen 2,2000,,Black
Western Digital WDBGPU0010BBK-NESN,,Portable,,1000,,
Transcend StoreJet,64.98,Portable,USB Type-A 3.2 Gen 1,1000,0.065,
Toshiba Canvio Slim II,101,Portable,USB Type-A 3.2 Gen 1,1000,0.101,
ADATA AHV620-500GU3-CBK,,Portable,USB Type-A 3.2 Gen 1,500,,
Western Digital ELEMENTS,,Portable,USB Type-A 3.2 Gen 1,500,,
TEAMGROUP PD1000,115.99,Portable,USB Type-C 3.2 Gen 2,2000,0.058,Teal
