name,price,type,efficiency,wattage,modular,color
be quiet! System Power 9 500 CM,,ATX,bronze,500,Semi,Black
Cooler Master V750 SFX GOLD,,SFX,gold,750,Full,Black
Asus ROG Strix Aura Edition,243.43,ATX,gold,1000,Full,Black
GAMDIAS KRATOS M1 B,64.98,ATX,bronze,750,false,Black
Corsair CX650 (2017),145.24,ATX,bronze,650,false,
NZXT C1000 (2024),184.99,ATX,gold,1000,Full,White
SeaSonic Focus GX V4 ATX 3 (2024),,ATX,gold,1000,Full,White
Cooler Master MWE Gold 850 V3,109.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 1000 GT,,ATX,gold,1000,Full,Black
SeaSonic FOCUS GX,191.29,ATX,gold,850,Full,Black
be quiet! System Power 10,,ATX,bronze,450,false,Black
ADATA XPG KYBER,66.98,ATX,gold,650,false,Black
MSI MPG A1000G,256.8,ATX,gold,1000,Full,Black
Corsair RM850x,189.97,ATX,gold,850,Full,
SeaSonic FOCUS Plus 750 Gold,189,ATX,gold,750,Full,
be quiet! Straight Power 12,,ATX,platinum,1500,Full,Black
SeaSonic PRIME TX-1000,,ATX,titanium,1000,Full,Black
GameMax GX Pro Rampage,159.99,ATX,platinum,1050,Full,White
Silverstone DA850R-GMA,,ATX,gold,850,Full,Black
Mars Gaming MPIII750,,ATX,,750,false,White
Thermaltake Smart BX1,74.98,ATX,bronze,750,false,Black
Super Flower LEADEX VII XG,139.99,ATX,gold,850,Full,Black
Silverstone SFX,217.98,SFX,titanium,800,Full,Black
ADATA XPG KYBER,79.98,ATX,gold,750,false,Black
be quiet! Pure Power 11 600,189.8,ATX,gold,600,false,Black
Thermaltake Smart BM3,99.99,ATX,bronze,850,Semi,Black
Super Flower LEADEX VII XG,229.99,ATX,gold,1300,Full,Black
Gigabyte AORUS ELITE P850 ICE,169.98,ATX,platinum,850,Full,White
EVGA 750 GQ,85.98,ATX,gold,750,Semi,
ADATA XPG PYLON,75.38,ATX,bronze,750,false,Black
Corsair CX650M,138.09,ATX,bronze,650,Semi,
Corsair CV450,,ATX,bronze,450,false,Black
CoolMax ZX-500,39.99,ATX,plus,500,false,
SeaSonic FOCUS GX,167.55,ATX,gold,650,Full,Black
Silverstone SFX,79.48,SFX,bronze,300,false,Black
Thermaltake TR2 S,96.23,ATX,plus,600,false,Black
Corsair RM750x SHIFT,129.99,ATX,gold,750,Full / Side,Black
Cooler Master V SFX Platinum,677,SFX,platinum,1300,Full,Black
Lian Li EDGE,,ATX,platinum,850,Full,Black
Super Flower Leadex III Gold,,ATX,gold,750,Full,Black
EVGA SuperNOVA 1000 G5,224.99,ATX,gold,1000,Full,Black / Green
EVGA SuperNOVA 650 G3,,ATX,gold,650,Full,
FSP Group Dagger Pro,139.99,SFX,gold,650,Full,Black
Super Flower LEADEX VII XG,179.99,ATX,gold,1000,Full,Black
Corsair RM850e (2022),175,ATX,gold,850,Full,Black
SeaSonic S12III,81.99,ATX,bronze,650,false,Black
Vetroo GV1000,134.99,ATX,gold,1000,Full,White
NZXT C750 (2023),,ATX,bronze,750,false,Black
Thermaltake Toughpower GF3 TT Premium,235.76,ATX,gold,1000,Full,Black
Lian Li EDGE GOLD,,ATX,gold,1000,Full,White
ADATA XPG PYLON,89.65,ATX,bronze,550,false,Black
MSI MPG A1000GS PCIE5,189,ATX,gold,1000,Full,Black
ASRock Taichi TC-1650T,,ATX,titanium,1650,Full,Black / Silver
Cooler Master G600,,ATX,gold,600,false,Black
Lian Li EDGE GOLD,,ATX,gold,1000,Full,Black
Deepcool PF500 230V,,ATX,plus,500,false,Black
Lian Li EDGE GOLD,,ATX,gold,1200,Full,Black
