name,price,rpm,noise_level,color,size
ID-COOLING DASHFLOW 240 BASIC,,"700,1800","15.2,35.2",Black,240
NZXT Kraken X62 Rev 2,,"500,1800","21,38",,280
Deepcool AG400 LED,,"500,2000",31.6,Black / Silver,
ID-COOLING FROZN A610 BLACK,,"500,2000",29.85,Black,
Cooler Master Hyper T20,21.99,2000,30,Black / Silver,
Thermaltake TH280 V2 Ultra ARGB Sync,154.94,"500,2000",34.7,Black,280
Alphacool Eisbaer Aurora 420,189.95,"600,1500",,Black,420
Gelid Solutions Tranquillo Rev. 5,,"900,2000",26.5,Black,
Thermaltake TOUGHLIQUID Ultra RGB,279.99,"500,2000",30.7,Black,420
ARCTIC Alpine 12 CO,,"100,2700",,Black / Gray,
BitFenix Cube ARGB,260.15,2000,34,White,360
Thermalright Frozen Notte ARGB V2,,2000,27.7,White,360
GAMDIAS BOREAS E1,29.99,"800,2000","10,31",Black / Silver,
Cooler Master MasterLiquid 240,,"650,2000","6,30",,240
Vetroo U6 Pro,34.99,"700,1500","18.1,30.5",Black,
Corsair iCUE H170i ELITE LCD,,"400,1600","10,31.8",Black,420
Thermalright Assassin King 120,,1500,25.6,Black / Silver,
Yeston zeaginal Sakura,,"900,1800",30,White,360
Deepcool LE500,,"500,2250",,Black,240
Enermax Liqmax III 360 ARGB,,"500,1600","14,27",Black,360
Lian Li Galahad AIO240 (2022),,"800,1900",32,Black / Silver,240
EK AIO Elite 280 D-RGB,79.98,"550,2200",36.4,Black,280
Cooler Master Hyper H411R,,"600,2000",29.4,Black / Silver,
Thermalright Burst Assassin ARGB,24.99,1550,25.6,Black / Silver,
Deepcool AK500 DIGITAL WH,,"500,1850",28,White,
Asus ROG RYUJIN II,,"450,2000",29.7,Black,360
Antec A30,,1750,20,,
Asus TUF GAMING LC 240 ARGB,,"800,2000",29,Black,240
be quiet! Pure Rock,,1500,"19.1,26.8",,
Deepcool GAMMAXX GT A-RGB,,"500,1650",27.8,Black / Silver,
Enermax LIQMAXFLO 360,,"500,1800",23.46,Black,360
Mars Gaming ML-ONE,,"600,1800","9,26",Black,360
Cooler Master Hyper 212X,,"600,2000","9,36",,
Montech AIR COOLER 210,,"600,1500",27,Black,
Thermalright Frozen Notte ARGB V2,,2000,27.7,Black,240
Aerocool Cylon 4,60.77,"800,1800","14,26",Black,
Thermaltake TOUGHLIQUID 360 EX Pro ARGB Sync,,"500,2000",22.6,Black,360
Cooler Master Hyper 212 LED,69.98,"600,1600","9,31",,
Thermaltake Water 3.0 240 ARGB Sync,,"500,1500",25.8,Black,240
Deepcool GAMMAXX GTE V2,,"500,1650",27.8,White,
Thermaltake TH240 V2 Ultra ARGB Sync,129.99,"500,1800",25.8,Black,240
Thermalright SI-100,28.29,2000,27.7,Gray / Silver,
Deepcool LD240,,"600,2400",38.71,Black,240
Cooler Master Masterliquid 240 Atmos,167.66,"690,2500",27.2,White,240
KOLINK Umbra EX180,,"800,1800",28.6,Black,
Gigabyte AORUS WATERFORCE 240,,"950,2150","16.9,31",Black,240
Phanteks Glacier One 360MPH,330,"500,2200","18,34.2",White,360
Xilence I250PWM,46,"800,2500","17.6,26.4",Red / Black,
ID-COOLING SE-224-XTS,24.99,"600,1500",28.9,Black / Silver,
Antec VORTEX 240,132.94,"600,2000",31.24,Black,240
ARCTIC Liquid Freezer II 120,,"200,1800",,Black,120
EVGA CLC 240,,"500,2400","16,39.9",,240
Mars Gaming ML-ONE,,"600,1800","9,26",Black,240
Alphacool Core Ocean T38,67.5,,"0,34.3",Black,240
MSI MPG CORELIQUID K240 V2,99.99,,39.9,Black,240
Cooler Master MasterLiquid ML360 Mirror,245.99,"650,1800","8,27",Black,360
Silverstone IceMyst 420,159.66,"400,1750","13.3,30.8",Silver / Black,420
Jonsbo CR-1000 EVO ARGB White,,"600,1500","22,32",White,
Asus ROG STRIX LC II ARGB,,"800,2500",37.6,Black,240
Alpenföhn BEN NEVIS,47.65,"400,1600","8,20.2",,
Fractal Design Celsius+ S24 Prisma PWM ARGB,184.7,"500,2000",32.7,Black,240
Cooler Master MasterLiquid ML240 Illusion,139.99,"650,1800","6,30",White,240
MSI MPG CORELIQUID K240,148,,"0,39.9",Black,240
ID-COOLING DASHFLOW 240 BASIC,,"700,1800","15.2,35.2",White,240
Ocypus Iota L36,99.99,"500,2000",29,White,360
ID-COOLING SE-214-XT,,"500,1500","16,26.6",,
ARCTIC Freezer A35 A-RGB,46.82,"200,1700",,Black,
Deepcool LS520 WH,,"500,2250",32.9,White,240
Enermax LIQMAXFLO 420,94.79,"500,1700",25.47,Black,420
ID-COOLING SE-903-XT,,"500,2200","14,25.8",,
Silverstone Krypton KR02,38.99,"800,2800","13.6,34.8",Black / Silver,
Silverstone Krypton KR01,48.5,"800,3000",33,Black / Silver,
Xilence A402,,"600,2200","14,23.8",Red / Black,
MSI MEG CORELIQUID S280,288.56,,24.9,Black,280
ID-COOLING FROSTFLOW 240L-W,,"800,2000","20,38.2",,240
Thermalright Assassin King 120,,1500,25.6,White / Silver,
ID-COOLING DASHFLOW BASIC,,"700,1800","15.2,35.2",White,360
Cooler Master i70C,,"650,1800",28,Black / Silver,
EVGA CLCx 240,,,35,Black,240
Thermalright Frozen Vision 240,,"2150,21500",27,Black,240
Scythe Ninja 5,,"300,800","4,14.5",Black,
PC Cooler RZ400 V2,28.99,"500,2200",32,Black,
ARCTIC Freezer 7 Pro Rev.2,,"900,2500",,,
Jonsbo CR-1000 EVO Standard,,"600,1500","22,32",Black,
Thermalright Frozen Warframe,,2000,22.1,Black,360
Corsair H75 2018,,1900,31,Black,120
Iceberg Thermal IceSLEET G6 Stealth,39.99,"600,1400",26,Black / Blue,
Silverstone AR12 RGB,31.99,"700,2200","9,29",Silver / Black,
Thermaltake Floe DX RGB 360 TT Premium Edition,143.35,"500,1500","19,23.9",Black / Gray,360
Silverstone Hydrogon D120 ARGB V2,99.81,,"0,30.5",Black / Silver,
ID-COOLING IS-55 ARGB,,"500,2000",31.2,White,
ENDORFY Fortis 5 Black ARGB,,,,Black,
ARCTIC Freezer i13 X,29.99,"300,2000",,Black / White,
Alpenföhn Brocken 4,,"400,1600",22.8,Black,
Deepcool LE500 Marrs,,"500,2250",32.9,Black,240
EK AIO 360 D-RGB,,"450,2600",36.4,Black,360
Fractal Design Lumen S28 V2,199.99,"500,1700","10,35.5",Black,280
Cougar Poseidon Elite ARGB 240,132.24,"500,2200",33.5,Black,240
Deepcool UD511 RGB,,"500,1800",26.8,Black,
ARCTIC Freezer 34,,"200,1800",,Black / Silver,
ID-COOLING SE-226-XT,83.54,"500,1500","13.8,30.5",Black,
Thermaltake TOUGHAIR 510,59.99,"500,2000",23.6,Black / Gray,
YEYIAN VATN ARGB 360,109.99,"800,2000","25,32",Black,360
Gigabyte AORUS WATERFORCE 360,,"950,2150","16.9,31",Black,360
Cooler Master i71C RGB,,"650,1800",,Black,
Deepcool ASSASSIN III,,"400,1400",34.2,Black / Silver,
ID-COOLING PINKFLOW 240 V2,,"900,2000","16.3,33.5",Pink,240
Thermalright Frozen Vision 360,,2150,27,White,360
ARCTIC Liquid Freezer II 420 RGB,,"200,1900",22.5,Black,420
Noctua NH-L12,,"1200,1600","13.1,22.4",,
Deepcool GAMMAXX L240 A-RGB,,"500,1800",30,Black,240
Intel BXXTS100H,,"800,1800","20,35",,
Thermaltake TH420 V2 ARGB Sync,143.97,"500,1800",34.7,White,420
Iceberg Thermal IceFLOE T65,,"1000,3000",31.5,Silver / Teal,
Thermaltake Water 3.0 120 ARGB Sync,,"500,1500",25.8,Black,120
RAIJINTEK LETO PRO RGB,24.99,"800,1800",25,Black / Silver,
Thermaltake TH120 V2 ARGB Sync,79.98,"500,2000",25.8,White,120
ID-COOLING FX240 INF,84.99,2900,25,Pink,240
Gelid Solutions Liquid 120,,"750,1800",29.6,Black,120
Silverstone SST-XE01-1700A,39.9,"1000,5500",58.1,Black,
Gigabyte AORUS WATERFORCE 280,,"950,2150","17.1,36.5",Black,280
Corsair H55,,1700,30.32,,120
Deepcool CASTLE 360EX,,"500,1800",32.1,Black,360
Enermax LIQMAXFLO 240,74.79,"500,1800",23.46,Black,240
Zalman CNPS9X Performa,,"700,1800",28,Black,
TEAMGROUP SIREN GD360E,109.99,"600,2200","14.3,35.6",White,360
Gigabyte AORUS WATERFORCE X,260.77,"800,2500","7.9,37.6",Black,240
Dynatron R24,44.55,"1500,7000","16,47.5",,
Cooler Master MasterLiquid 240 ATMOS Stealth,119.99,"1,2400",30,Black,240
Iceberg Thermal IceSLEET X5,29.99,"500,1850","0,36",Teal / Silver,
MSI MAG CORELIQUID C280,,"500,1800","14.8,33.28",Black,280
Deepcool R-AN600-BKNNMN-G,,"500,1850","20,24.4",Black / Silver,
Alphacool Eisbaer Aurora 360,259.99,"800,2000",,Black,360
Geometric Future Eskimo Pro 42,99.9,2400,34.2,White,420
Phanteks PH-TC12ST4_DBK01,,"400,2000",35.7,,
ID-COOLING ZOOMFLOW 240 XT SNOW,,"500,1500","13.8,30.5",White,240
Jonsbo CR-3000 ARGB,,"600,1500","22,32",Black / Silver,
Cooler Master MASTERLIQUID PL240 FLUX,94.99,,32,White,240
Thermaltake TH280 V2 Ultra ARGB Sync,159.99,"500,2000",34.7,White,280
Cooler Master MasterLiquid 240 Core II,84.99,"600,1750",30,White,240
Asus ROG STRIX LC III ARGB,179.99,"800,2200",36,Black,240
ENDORFY Fera 5 Black ARGB,,"250,1800",,Black,
Lian Li Galahad AIO360 (2022),,"800,1900",32,White / Silver,360
ARCTIC Liquid Freezer II 360 Rev. 2,,"200,1800",,Black,360
ID-COOLING SE-903-SD V3,,2000,23.1,Black / Silver,
MSI MAG CORELIQUID I240,99.99,,,White,240
Thermaltake TOUGHLIQUID 420 EX Pro ARGB Sync,,"500,2000",31.6,Black,420
Enermax ETS-T50 AXE ARGB,64.98,"500,1600","14,24",White,
Mars Gaming ML-ONE,,"600,1800","9,26",Black,120
Thermaltake TH360 V2 Ultra EX ARGB Sync,,,,Black,360
Lian Li Galahad AIO360 (2022),,"800,1900",32,Black / Silver,360
LC-Power LC-CC-120-RGB,,"800,1800",,Black,
Enermax LIQMAXFLO SR 120,59.79,"500,1800",23.46,Black,120
ENDORFY Navis F280,,"250,1800",,Black,280
Cougar Forza 50 Essential,54.73,"600,2000",34.5,Black / Silver,
Cooler Master Hyper 212 LED Turbo White Edition,,"600,1600","9,31",White,
Lian Li GALAHAD AIO 240 RGB,,"800,1900",,Black / Silver,240
Xilence I200,38,2200,25,Black / Silver,
Scythe Shuriken 2,,"300,2500","1.8,23.2",Black / Silver,
be quiet! Dark Rock Pro 3,,"1400,1700","13.2,26.1",,
be quiet! Dark Rock 3,,"400,1400","8.4,21.1",,
Scythe Big Shuriken 3,,"300,1800","2.7,30.4",Black / Silver,
Zalman CNPS7000V(AL)-1-PWM,,"800,2600","20,32",,
Thermalright Frozen Warframe,,2000,22.1,Black,240
Ocypus Iota L24,85.99,"500,2000",29,Black,240
Iceberg Thermal IceSLEET X9 Dual TR,42.99,"500,1850","0,38",Teal / Silver,
MSI MPG CORELIQUID K360,,,39.9,Black,360
Deepcool GAMMAXX 300,,"900,1600","17.8,21",,
ARCTIC Freezer 34 eSports,,"200,2100",28,Red / Black,
darkFlash Darkair,,"800,1600",,Black,
ID-COOLING AURAFLOW X 240 EVO SNOW,,"700,1800","18,35.2",White,240
GameMax Sigma 550 Infinity,,"800,1800",32.5,White,
ID-COOLING ZOOMFLOW 360 XT SNOW,,"500,1500","13.8,30.5",White,360
be quiet! Pure Loop 280,,,"22.5,38.1",Black,280
Thermaltake Water 3.0 360 ARGB Sync Edition,,"500,1500",25.8,Black,360
CRYORIG M9a,,"600,2200",26.4,,
ID-COOLING SE-224-XT Basic,,"700,1800","15.2,32.5",Black / Gray,
Cooler Master Hyper TX3 Evo,,"800,2200",,,
Thermalright Peerless Assassin 120 Digital,,1850,25.6,Black,
CRYORIG C7,,"600,2500",30,,
Jonsbo CR-1400,,"900,2300","20,30.5",Black,
Fractal Design Celsius S36 Blackout,,"500,2000",32.2,Black,360
Deepcool CASTLE 240EX A-RGB,,"500,1800",30,White / Black,240
Deepcool GAMMAXX L360 A-RGB,,"500,1800",30,Black,360
Thermalright Royal Pretor 130,50.59,1750,28.3,Black / Silver,
Thermaltake Contac Silent 12,29.99,"400,1500","22.1,28.8",,
Antec Symphony ARGB,80.04,"800,1600","20,35",Black,240
iBuypower AW4,79,"700,2000",38,White,240
Mars Gaming ML-ONE,,"600,1800","9,26",White,240
Thermalright Silver Soul 135,105,1850,29.6,Black,
Silverstone IceMyst 240,96.79,"500,2200","12.1,33.1",Silver / Black,240
Zalman CNPS17X,29.99,"800,1500",29,Black / Silver,
Jonsbo CR-1400 EVO ARGB White,,"800,2200","22.3,33.8",White,
Cooler Master MasterAir MA612 Stealth,,"650,1800","8,27",,
EVGA CLC 280,,"600,2200","16,39.5",,280
Thermaltake TH240 ARGB Sync,129.85,1500,28.2,White,240
Cooler Master MasterAir MA620M,150.9,"650,2000","8,30",Black,
TRYX PANORAMA,299.99,"500,2250",30.97,White,240
ID-COOLING SPACE LCD,,"500,1800",35.2,Black,360
NZXT Kraken X61,,"800,2000","20,37",,280
ARCTIC Alpine M1 - Passive,,,0,,
AQIRYS Hydra ARGB,,"800,2000","25,34",Black,360
ID-COOLING FROZN A410 GDL,39.99,"500,2000",29.9,Black / Gold,
Ocypus Iota L24,85.99,"500,2000",29,White,240
BitFenix Cube ARGB,69.9,2000,34,White,240
Asus ROG STRIX LC 120 RGB,291,"800,2500",37.6,Black,120
Jonsbo HX4170D,,"600,3300",28.4,Black,
Enermax ETS-F40-FS,32.99,"300,1200","10,23",White,
Thermalright Frost Spirit 140 V3 ARGB,,1500,25.6,White,
Silverstone Hydrogon H90 ARGB,,"500,2600","11.3,34.6",Black / Silver,
ID-COOLING FX240ARGB,,"500,1800",35.2,Black,240
EVGA CLC 360,,"500,2400","16,39.9",Black,360
EK AIO 280 D-RGB,,"500,2000",36.4,Black / Translucent White,280
Deepcool GAMMAXX 400 Blue,,"900,1500","17.8,30",Blue / Silver,
Thermaltake TOUGHAIR 110,34.99,"500,2000",23.6,Black / Silver,
BitFenix Cube ARGB,118.06,2000,34,Black,360
Thermalright Core Matrix,,2150,27,Black,360
Cooler Master MasterAir MA410P,,"650,2000","6,30",,
Deepcool AS500 Plus,,"500,1200",31.5,Black,
Cooler Master MasterLiquid 120,,"650,2000","6,30",,120
Deepcool AK500S DIGITAL,,"500,1850",28,White,
Antec A40PRO,52.61,"800,2200","16,23",,
Noctua NH-U12S TR4-SP3,89.9,"300,1500","18.6,22.4",,
upHere CCF150CF,,"600,1800","16.1,27.7",Black,
iBuypower AW4,99,"700,2000",38,White,360
Cooler Master i70,18.98,1800,28,Black / Silver,
ARCTIC Freezer 13 CO,,"600,2000",24.4,,
Thermalright Frost Tower 120,,1850,29.6,,
Enermax AQUAFUSION ADV 360,,"500,2000","15,32.6",Black,360
TRYX PANORAMA ARGB,309.99,"500,1850",27.86,Black,240
be quiet! Silent Loop 2 120,166.66,2200,"16.6,36.4",Black,120
Alphacool Core Ocean T38,80.75,,"0,36",Black,280
Xilence LQ360.ARGB,,"900,1850","18,28",Black,360
KOLINK Umbra Void,,2200,30,Black,240
Mars Gaming MCPU-XT,,"800,1600","9,26",Black,
Silverstone NovaPeak 240 ARGB,99.99,"500,2200","12.1,33.1",Black,240
PC Cooler RZ400 V2,30.99,"500,2200",32,White,
Cooler Master MASTERLIQUID PL360 FLUX,,,32,White,360
Asus ROG RYUO 120 RGB,180.96,"800,2500",37,Black,120
Noctua NH-L9a,,2500,,,
ID-COOLING IS-30A,,"800,3600","17,35.8",Black / Silver,
Alphacool Core Ocean T38,56,,"0,34.3",Black,120
Thermalright Frozen Vision 360,,2150,27,Black,360
Enermax AQUAFUSION ADV 240,,"500,2000","15,32.6",Black,240
Thermalright Frozen Notte ARGB V2,,2000,27.7,White,240
Fractal Design Celsius+ S24 Dynamic X2 PWM,,"500,2000",32.2,Black,240
Alphacool Eisbaer 360,139.95,"550,1700",29,Black,360
Thermalright Frost Vortex SE,,1650,29,Black / Silver,
RAIJINTEK PALLAS 120,33.75,"200,1400",28.43,Black,
Asus ROG RYUJIN II 360 ARGB EVA Edition,,,,Silver / Black,360
MSI MAG CORELIQUID E360 MONSTER HUNTER EDITION,,,,Black,360
Geometric Future Eskimo Pro 36,79.9,2000,34.2,Black,360
Zalman CNPS9X Performa ARGB,29.9,"700,1800",28,White,
Thermaltake CLP0556,24.03,"1900,2300",22,,
KOLINK Umbra Void,,2200,30,Black,360
Cooler Master MasterLiquid ML120R RGB,,"650,2000","6,30",,120
Cooler Master MasterAir MA410M,102,"650,1800","6,31",Black,
Cooler Master MasterAir MA610P ARGB,162.34,"650,1800","8,27",,
Deepcool GAMMAXX 400 XT,,"500,1500",27,Black,
ID-COOLING FX360 ARGB,,"500,1800",35.2,Black,360
Thermalright Peerless Assassin 120 Digital ARGB,,1850,25.6,Black,
MSI MPG CORELIQUID D240,200.99,,,Black,240
Cooler Master MasterLiquid 360 ATMOS Stealth,134.99,"1,2400",30,Black,360
Asus ROG STRIX LC III ARGB,184.99,"800,2200",36,White,240
Cooler Master Hyper 212 LED Turbo (Red),77.9,"300,1600","9,31",,
Asus ROG STRIX LC 360 RGB,,"800,2500",37.6,Black,360
SilentiumPC Fera 5,,"300,1800",,Black / Silver,
Dynatron K129,44.55,,0,Orange,
Silverstone AR12-TUF,42.51,"300,2200","6.2,34.4",Black / Orange,
Jonsbo CR-3000 ARGB,,"600,1500","22,32",White,
Cooler Master MasterLiquid 360L Core SF6 Chun-Li,,"650,1750",27.2,White / Yellow,360
Fractal Design Lumen S36 RGB,,"500,2000","10,33.2",Black,360
ID-COOLING SE-214-XT BASIC,,"700,1800",35.2,Gray / Silver,
Deepcool GAMMAXX C40,,"500,2000",23.9,Black / Silver,
Geometric Future Eskimo Junior 36,139.9,2000,29,White,360
Thermaltake TH420 V2 Ultra EX ARGB Sync,,"500,2000",30.7,Black,420
Iceberg Thermal IceFLOE OASIS 240,,"200,2200",28.9,Black,240
PC Cooler RZ620,77.51,"500,2200","28,32",Black / Silver,
Corsair H60,,,30.2,,120
Corsair H105,,"800,2700",37.7,,240
ARCTIC Alpine Passive,,,0,Black,
Thermalright Frost Commander 140,,1800,30.2,White,
Geometric Future Eskimo Pro 36,79.9,2000,34.2,White,360
Thermalright Frozen Warframe ARGB,,1750,29.8,Black,420
Xilence I350PWM,,"800,2500","17.6,26.4",Red / Black,
Asus ROG RYUO 240 RGB,189.98,"800,2500",37,Black,240
MSI MAG CORELIQUID R,,"500,2000","14.3,34.3",Black,240
Noctua NH-C14,,"750,1200","10.1,19.6",,
Scythe Mugen 5 PCGH Edition,,"300,800","4,14.5",Silver / Black,
Gigabyte AORUS LIQUID COOLER,,2500,"18,39.5",Black,240
Geometric Future Eskimo Junior 36,139.9,2000,29,Black,360
Thermaltake TOUGHAIR 710,89.99,"300,1400","18.5,23.9",Black,
Xilence I402,,"600,2200","14,23.8",Red / Black,
Thermalright Frost Spirit 140 V3 BLACK,,1500,25.6,Black,
Intel BXRTS2011LC,,2200,,,120
NZXT Kraken X42,,"500,1800","21,38",,140
ID-COOLING FROSTFLOW+ 240 SNOW,,"700,1500","18,26.4",White,240
Phanteks Glacier One 360MPH,,"500,2200","18,34.2",Black,360
Iceberg Thermal IceSLEET G4 Midnight Limited Edition,28.9,"600,1400",22.5,Black,
Alphacool Eisbaer 420,151.45,1100,29.4,Black / Blue,420
Corsair H80i,,2700,37.68,,120
ARCTIC Freezer 33 eSports ONE (Black/Red),,"200,1800",24.4,Black / Red,
Deepcool CASTLE 360EX A-RGB,,"500,1800",30,White / Black,360
Fractal Design Celsius+ S28 Dynamic X2 PWM,,"500,1700",32.7,Black,280
be quiet! Pure Loop 120,124.67,,"18.9,36.1",Black,120
Scythe Mugen 5 Black Edition Rev.C,,"300,1500","4,28.6",Black,
CRYORIG H7 Quad Lumi,,"330,1600","10,25",,
Scythe Big Shuriken 3 Rev.B,,"300,1800","2.58,27.8",Black / Silver,
Cooler Master Hyper T2,,2800,"17,35",,
Corsair H100i GTX,,2435,37.7,,240
Reeven Steropes RC-1206b,,"500,2000","9.32,33.67",,
Gigabyte AORUS ATC800,,"600,2000","18,31",Black,
Zalman CNPS4X,,"800,2000",29,Black,
ID-COOLING FX360,,"700,1800",35.2,White,360
Ocypus Delta A40 ARGB,27.99,"500,2000",29,Black,
Corsair H110i GTX,,2000,40,,280
Deepcool CAPTAIN 240EX WHITE,,"500,1800","17.6,31.3",,240
Cooler Master MasterLiquid ML120L RGB,,"650,2000","6,30",,120
ARCTIC Freezer 34 eSports,,"200,2100",,White / Black,
Iceberg Thermal IceSLEET X7 Dual,37.99,"500,1850","0,38",Teal / Silver,
Zalman CNPS16X,25.9,"800,1500",27,Black,
Asus TUF Gaming LC 120 ARGB,,"800,2000",,Black,120
Asus ROG STRIX LC 240 RGB White Edition,184.99,"800,2500",37.6,White,240
Cooler Master MasterAir MA624 Stealth,,"650,1400","10,27",Black,
Xilence M403PRO.ARGB,,"500,1800","14.2,25.6",Black / Silver,
ID-COOLING FROZN A610,,"500,2000",29.9,Black,
Deepcool GAMMAXX 200T,,"900,1600","17.8,26.1",,
Cooler Master MasterLiquid Pro 280,,"650,2200","6,30",,280
SilentiumPC Fera 3 HE1224,,"500,1600",,Black / Silver,
ID-COOLING FROZN A610 ARGB WHITE,,"500,2000",29.9,White,
Ocypus Iota A62,65.98,"500,2000",29,Black,
Thermaltake TOUGHLIQUID Ultra,191.84,"500,2500",28.1,Black,240
Jonsbo CR-1000 EVO Color Black,,"600,1500","22,32",Black,
Cooler Master Hyper TX3 EVO,,"800,2800","17,35",,
SilentiumPC Fortis 3 HE1425,,"500,1400","8,22",,
GAMDIAS CHIONE P3-360U,,"800,2000","10,31",Black,360
Deepcool AN600,,"500,1850","20.4,24.2",Black / Silver,
Enermax ETS-N31-02,38.63,"800,2000",24.5,Black / Silver,
EVGA ACX mITX,15.31,"800,2800",33.4,,
GAMDIAS CHIONE M3,89.99,"800,2000",,White,240
Thermalright SI-100,,2000,27.7,Gray,
ARCTIC Liquid Freezer II 240 RGB,171.84,"200,1800",22.5,Black,240
TEAMGROUP SIREN GD360E,,"600,2200","14.3,35.6",Black,360
Deepcool Gammaxx L360 V2,,"500,1800",30,Black / White,360
ID-COOLING FROSTFLOW+ 120,,"700,1800","18,35.2",Black / White,120
Deepcool GAMMAXX GTE V2,,"500,1650",27.8,Black,
Sunbeam CR-CCTF,19.22,"1000,2000","16,20",,
Thermaltake Floe Riing RGB 360 TT Premium Edition,149.81,"500,1400","19.8,24.7",,360
Alpenföhn Brocken 4 Max,,"400,1800","22.8,24.7",Black,
Alpenföhn Glacier Water High Speed 360,246.71,"500,2200",36.8,White,360
Thermalright Frozen Magic ARGB,,1500,25.6,White,360
Zalman ALPHA2 A36,,"600,2000",29.7,Black,360
Noctua NH-D14 SE2011,,"900,1300","12.6,19.8",,
MSI MPG CORELIQUID K360 V2,,,39.9,Black,360
Jonsbo CR-1400 EVO Standard,,"800,2200","22.3,33.8",Black,
Xilence A404T,77,"600,2200",65.4,Red / Black,
Thermaltake TH120 ARGB Sync,108.9,1500,28.2,Black,120
Deepcool AK620 ZERO DARK ZORIA,,"500,1850",28,Orange / Black,
Noctua NH-D9DX i4 3U,,"400,2000","16.3,22.8",,
Noctua NH-U12P SE2,,"900,1300","12.6,19.8",,
Dynatron R25,44.95,"1000,7000","21.5,59.14",,
PC Cooler DS360,149.99,"500,2200",32,Black,360
Amazon Basics,,"600,2000","6,29",,
ID-COOLING IS-50X V3,,"500,2000",31.2,Black / Gray,
Valkyrie DRAGONFANG,,"800,2150",29,Black,360
ENDORFY Fortis 5 Black,,,,Black,
Mars Gaming ML-ONE,,"600,1800","9,26",Pink,120
ARCTIC Freezer 13,,"600,2000",,,
ARCTIC Freezer Xtreme Rev.2,,"800,1500",24.4,,
ARCTIC Alpine M1,,750,20.5,,
Deepcool GAMMAXX GT,,"500,1500","17.8,29.5",,
ID-COOLING SE-214-XT PRO,,"600,1500",28.9,Black / Silver,
ID-COOLING FROZN A410 DW,,"500,2000",29.85,White,
Phanteks PH-TC12ST5_DBK01,,"400,2000",35.7,,
GAMDIAS BOREAS P1-720,59.99,"800,2000","10,31",Black,
ID-COOLING FROZN A400 ARGB,,"600,2200",25.8,Black,
Gigabyte AORUS WATERFORCE X,,2300,"8.06,44.4",Black,280
Alphacool Eisbaer Pro Aurora,205.95,,31.5,Black,360
Thermalright Frozen Vision 240,,"2150,21500",27,White,240
Deepcool AS500 PLUS WH,,"500,1200",31.5,White / Silver,
Corsair H50,,1700,30.32,,120
NZXT Kraken X41,,"800,2000","20,37",,140
CRYORIG M9i,,"600,2200",26.4,,
Deepcool CASTLE 360EX WHITE,,"500,1800",32.1,White / Black,360
ID-COOLING SE-224-XT,,"700,1800","15.2,32.5",Black,
Deepcool GAMMAXX 400 EX,,"500,1500",27.6,Black,
ID-COOLING IS-40X V3,,"800,2800",35.2,White,
Corsair H90,204.99,1500,35,,140
Deepcool AG500 ARGB,,"300,1850",29.4,Black / Silver,
Silverstone NT07-115X,29.99,"1500,3600","21.9,34.7",Silver / Black,
Corsair H100,,"1300,2500","22,39",,240
Cooler Master Hyper T4,,1800,"15.1,31.6",,
ID-COOLING FROSTFLOW X,,"700,1800","18,35.2",,360
Fractal Design Celsius S24 Blackout,,"500,2000",32.2,Black,240
Alphacool Eisbaer LT240,113.5,"550,1700",29,Black,240
Thermaltake TOUGHAIR 510,59.99,"500,1200",23.6,Green,
Alpenföhn Glacier Water High Speed 240,177.46,"500,2200",36.8,White,240
Xilence M705D,,"700,1600","18,32.5",Black,
Cooler Master Seidon 120V,,2400,"19,40",,120
Deepcool Castle 360 RGB V2,,"500,1800",30,Black,360
ID-COOLING ZOOMFLOW 240 XT,,"500,1500","13.8,30.5",Black,240
ID-COOLING PINKFLOW 240 DIAMOND PURPLE,,"900,2000","16.3,33.5",Pink / Purple,240
Thermalright Assassin X 120 V2,,1500,25.6,Black / Silver,
ARCTIC Freezer A35 RGB,35.99,"200,1700",,Black,
Asus ROG STRIX LC 240 RGB,169.99,"800,2500",37.6,Black,240
Scythe Kotetsu Mark II,140.97,"300,1200","4,24.9",,
Cooler Master V8 GTS,,1600,36,,
Corsair H80i GT,,2435,37.7,,120
ARCTIC Liquid Freezer 240,,"500,1350",,,240
Thermalright AXP-100 Full Copper,,"900,2500",,Orange,
Phanteks Glacier One 240MP,,"500,2200","18,34.2",Black / White,240
Azza Blizzard SP 240,,"700,2200",36,Black,240
ID-COOLING PINKFLOW 240 Diamond,,"900,2000","16.3,33.5",Pink,240
PC Cooler RZ620,69.98,"500,2200","28,32",White,
Montech METAL DT24 BASE,,"800,1950",26,Black / Silver,
Thermaltake UX200 ARGB,36.47,"300,1500",26.33,Black,
Thermaltake TOUGHLIQUID Ultra,199.99,"500,2000",33.2,Black,280
Thermalright Macho Rev.B,,"300,1300","15,21",,
MSI CORE FROZR L,,"500,1800","17.2,33.6",,
CRYORIG H5 Ultimate,,"700,1300","19,23",,
Alpenföhn Brocken 3,,"400,1050",22,Black,
Deepcool GAMMAXX GTE,,"500,1500",27,Black / Silver,
Ocypus Delta A62 ARGB,47.99,"500,2000",29,Black,
SilenX EFZ-80HA3,20.97,2200,"8,24",,
Thermaltake UX 210 ARGB,44.7,"600,2000",34.3,Black / Silver,
Enermax Liqmax III 120 HF,88.21,"500,2000","14,32",Black,120
ID-COOLING ZOOMFLOW XT V2,,"500,1800","13.8,35.2",Black,360
Cooler Master Hyper 212X Dual Fan,,2000,"9,36",,
