name,price,rpm,noise_level,color,size
Noctua NH-L9i chromax.black,54.95,"600,2500","14.8,23.6",Black,
Thermalright Assassin X SE,16.89,2200,23.85,Black / Silver,
ARCTIC Freezer 36 A-RGB,59.99,"200,2000",,White,
NZXT Kraken Elite 360 (2024),259.99,"500,2000",30,Black,360
Lian Li Hydroshift LCD 360S,179.5,"200,2500",29.8,White,360
Noctua NH-U9S chromax.black,69.95,"400,2000","16.3,22.8",Black,
Lian Li HydroShift LCD 360R RGB,199.99,"300,2400",30,White,360
NZXT Kraken 120,79.98,"500,2000","21,36",Black,120
Corsair iCUE H115i ELITE CAPELLIX XT,143.99,"500,1700","5,33.8",Black,280
Corsair iCUE LINK TITAN 360 RX LCD,219.99,"300,2100","10,36",White,360
Thermalright Assassin Spirit 120 EVO WHITE ARGB,22.9,1850,27,White,
Thermalright Peerless Assassin 120 SE,,1550,25.6,Black,
Asus ROG Ryujin III,294.51,"450,2000",29.7,Black,360
Thermalright Grand Vision ARGB,132.59,2150,29.4,White,
Deepcool LE720,,"500,2250",32.9,Black,360
NZXT Kraken X63,229.99,"500,2000","21,38",Black,280
Cooler Master Hyper 212 EVO,61.99,"600,2000","9,36",,
Noctua NH-U12A,119.95,"450,2000","18.8,22.6",Brown,
Thermalright Phantom Spirit SE,40.59,1500,25.6,Black,
Lian Li HydroShift LCD 360TL RGB,259.89,"200,2600",33,White,360
Corsair iCUE LINK H150i LCD,498,"480,2400",,White,360
MSI MAG CORELIQUID 240R V2,79.99,"500,2000","14.3,34.3",Black,240
Deepcool AK620,,"500,1850",28,Black / Silver,
Noctua NH-L9i-17xx chromax.black,54.95,"600,2500","14.8,23.6",Black,
Cooler Master MasterLiquid 240L Core ARGB,74.99,"350,1750",27.2,White,240
Vetroo V240,59.99,"800,1800",30.8,Black,240
Thermalright Burst Assassin 120 SE ARGB,20.39,1550,25.6,Black / Silver,
Thermalright AXP90-X47,21.9,2700,22.4,Gray,
Thermalright Frozen Edge,49.9,2150,28.1,Black,240
ARCTIC Liquid Freezer III 280 A-RGB,98.55,"200,1900",,Black,280
Thermalright Assassin X Refined SE,18.89,1550,25.6,White / Silver,
Corsair iCUE H100i ELITE CAPELLIX XT,,"550,2100","5,34.1",Black,240
NZXT T120 RGB,28.99,"500,1800","17.2,27.5",White,
Corsair iCUE H150i ELITE LCD XT,438,"550,2100","5,31.1",White / Gray,360
be quiet! Pure Rock 2 FX,52.9,,"7.9,24.4",Black,
Deepcool LT720,,"500,2250",32.9,Black / Gray,360
Asus ROG STRIX LC 360 RGB White Edition,399.99,"800,2500",37.6,White,360
Thermalright Frozen Infinity 360 ARGB,59.9,2000,28.2,Black,360
MSI MAG CORELIQUID 360R V2,,"500,2000","14.3,34.3",Black,360
Thermalright Peerless Assassin MINI,,1500,25.6,Black,
ID-COOLING FX240 PRO,49.99,"500,1800",35.2,Black,240
TRYX PANORAMA ARGB,349.99,"500,1850",27.86,Black,360
Corsair iCUE LINK H150i LCD,,"480,2400",,Black,360
ID-COOLING FROZN A720 BLACK,69.98,"500,2000",33.5,Black,
Thermalright Frozen Edge,54.9,2150,28.1,White,360
NZXT Kraken Elite 280,221.1,"500,1500","19.4,32.1",Black,280
ID-COOLING FROSTFLOW X,54.99,"700,1800","18,35.2",,240
Thermaltake UX200 SE ARGB,24.99,"800,1800",25,Black,
Thermalright Peerless Assassin 120 SE V3,35.9,2000,29.8,Black / Silver,
Noctua NH-U9S,59.95,"400,2000","16.3,22.8",,
Thermalright AXP90-X53 FULL,35.9,2700,22.4,Copper / Orange,
Noctua NH-D12L CHROMAX.BLACK,99.9,"450,2000","18.8,22.6",Black,
Corsair NAUTILUS 240 RS,89.99,2100,34,Black,240
Deepcool ASSASSIN IV,,"500,1700","22.6,29.3",Black,
Deepcool AK400 DIGITAL,,"500,1850",28,Black,
Cooler Master Hyper 212 Halo,33.99,"650,2050",27,White,
Gigabyte AORUS WATERFORCE II 360,134.99,"800,2300","12.8,36.9",Black,360
Deepcool LS720 SE,,"500,2250","28.2,32.9",Black,360
Asus ProArt LC 420,267.99,"800,2000",31.5,Black,420
be quiet! Light Loop,146.99,"1500,2900","17.2,36.8",Black,360
Lian Li Galahad II Trinity,179.22,2450,35.4,White,360
